명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
바다에누워 펜션,064-764-6800,제주특별자치도 서귀포시 남원읍 위미해안로 60,"바다에누워 펜션은 제주 서귀포시 남원읍 위미해안로에 위치해 있으며 한라산과 바다가 한눈에 보인다. 객실은 크기별로 3타입이 있고/ 객실 안에는 소파/ TV/ 전화/ 헤어드라이어/ 비누/ 타월/ 생수/ 치약/ 샴푸/ 린스/ 바디클렌져/ 에어컨/ 냉장고/ 싱크대/ 식탁/ 각종 주방용품 등이 있다. 욕실은 깔끔한 화이트 톤의 타일로 꾸며져 있고 매일 청소해 깨끗한 공간에서 샤워할 수 있다. 제주도지사 선정 우수 관광사업체로 안심하고 숙박할 수 있다.
펜션이 위치한 남원읍 위미리는 감귤 농사를 많이 하는 농어촌 마을로 농장과 해양레저를 체험하기 좋은 여건을 갖추고 있다. 주변 가볼 만한 곳으로는 쇠소깍/ 남원큰엉해안/ 제주코코몽에코파크가 있다.",2층,nan,6실,10평형/ 20평형/ 30평형,가능(10대),가능,14:00,익일 11:00,064-764-6800,nan,nan,nan
보물섬펜션,064-784-0039,제주특별자치도 서귀포시 성산읍 한도로242번길 10-11,"제주도 서귀포에 있는 보물섬펜션은 제주올레길 1코스 성산일출봉에 위치한 아름다운 펜션이다. 여름이면 보물섬 내 해수풀장에서 일출봉과 바다를 배경으로 물놀이를 즐길 수 있다. 하얀색 비치 테이블과 비치 벤치 등이 서로 어우러져 남국의 이색적인 정취를 만끽할 수 있다. 8평/ 10평/ 17평/ 19평형 객실 총 20개가 있고 부대 시설로 야외 바비큐장이 있다.
SBS 드라마 [올인] 드라마 촬영지인 섭지코지가 근처에 있으며/ 차량으로 약 10분 거리에 제주아쿠아플라넷이 있다. 주변 가볼 만한 곳은 성산일출봉/ 우도항/ 제주올레길 1코스/ 오조마을이 있다.",3층,80인,20실,8평형 침실/온돌/ 19평형/ 스위트,주차가능,가능,14:00,익일 11:00,064-733-5212,"<a href=""https://treasureisland.modoo.at"" target=""_blank"" title=""새창 : 보물섬펜션 홈페이지로 이동"">https://treasureisland.modoo.at</a>",nan,nan
뷰티풀하우스,nan,제주특별자치도 서귀포시 이어도로253번길 2(대포동),"제주도 중문 관광단지가 가까이 있고 시원한 바다가 보이는 전망 좋은 곳에 위치한 뷰티플 하우스는 무더운 여름날 시원하게 머물다 갈 수 있는 곳으로 유명하다. 고풍스러운 원목 인테리어에 실내장식들이 꾸며져 있으며/ 넓은 정원에는 수영을 할 수 있도록 풀장이 설치되어 있다. 그리고 정자에서 시원한 시냇물 소리를 들으며 바비큐 파티도 할 수 있다.
자연 속의 시원한 냇물이 앞마당을 거쳐 흐르고 걸어서 1분 거리에 동양 최대의 약천사가 있어 산책코스로 아주 좋다. 인근에는 자동차로 5분 거리에 대포 주상절리/ 컨벤션 센터/ 중문해수욕장/ 퍼시픽랜드/ 어촌 박물관/ 테디베어뮤지엄/ 여미지 식물원/ 천제연 폭포 등 관광명소들이 가까운 거리에 있어 볼거리가 풍부하다.",nan,161명,21실,12평형/ 14평형/ 17평형/ 복층형,가능,가능,15:00,11:00,010-6419-7407,nan,nan,바베큐장
아망뜨펜션(제주),064-787-0300,제주특별자치도 서귀포시 표선면 민속해안로 11,제주 서귀포시 표선면에 있는 아망뜨펜션은 표선 해안가가 눈 앞에 펼쳐지는 전망 좋은 숙소이다. 하얀 건물 외관이 이국적인 분위기를 풍기고 펜션 주변으로 큰 야자수 나무들이 있다. 총 3층 건물에 17개의 객실이 있으며 조용하고 넓은 방에서 편하게 휴식을 취할 수 있다. 9평형/ 20평형/ 30평형 세 타입의 객실이 있고 전체적으로 천정이 높게 탁 트여 있어 답답한 느낌이 없다. 화이트톤의 내부와 원목가구 인테리어로 따뜻한 느낌을 준다. 주방 사용이 가능하고 식기류와 냉장고/ 전자레인지 등이 구비된 객실이 있어 간단한 식사를 할 수 있다. 차로 5분 거리에 제주허브동산/ 표선 해비치해변 등이 있어서 같이 방문하기 좋다.,3층,50인,17실,9평형/ 20평형/ 30평형,있음,가능,15:00,익일 11:00,064-787-0300,nan,nan,있음
앙끄리에펜션,064-739-2727,제주특별자치도 서귀포시 색달로61번길 59-8,"제주 서귀포시 색달로에 위치하고 있는 앙끄리에펜션은 전원으로 둘러싸인 아늑한 숙소이다. 제주도 말로 안채라는 뜻으로/ 따뜻한 분위기가 돋보인다. 15평형/ 24평형/ 40평형 3타입의 객실 총 7개가 있다. 혈액순환을 촉진하고 피로회복에 좋으며 숙면할 수 있도록 우리나라 전통 소재인 황토를 이용해 객실을 꾸몄다. 넓은 대지에 3동의 건물이 있으며 건물과 건물 사이 잔디에 돌을 깔아 길을 만들었다. 동화 속 집 같이 아늑하고 아름다우며 날이 좋을 때는 정자에 앉아 책을 읽는 것도 좋다. 
주변 관광지로는 중문관광단지/ 중문해수욕장/ 천제연폭포/ 주상절리대/ 대유랜드/ 카멜리아 힐 등이 있다.",nan,nan,7실,15평형/ 24평형/ 40평형,있음,가능,15:00,익일 11:00,064-739-2727,"<a href=""http://www.angkure.com"" target=""_blank"" title=""새창 : 앙끄리에펜션 홈페이지로 이동"">http://www.angkure.com</a>",가능(사전문의),nan
그린사이드,064-738-0074,제주특별자치도 서귀포시 천제연로 51(색달동),서귀포시 색달동에 위치한 그린사이드는 중문관광단지 입구에 자리 잡고 있어 교통이 편리한 실속 있는 동시에 800평에 넓은 정원에 야자수와 돌담/ 유채꽃이 잘 어우러진 곳이다. 객실은 15평형과 30평형 두 가지로/ 15평형은 투룸 형식의 2~4인실이고 30평형은 온실과 양실이 함께 있는 3룸 형식의 6~8인실이다. 객실 테라스에서는 한라산/ 형제섬/ 마라도/ 가파도/ 중문관광단지/ 중문골프장 등을 조망할 수 있다. 펜션과 함께 감귤농원도 운영되고 있다. 주변에 관광지로는 천제연폭포/ 주상절리 등이 있다.,3층,nan,3실,15평형/ 30평형,주차가능,가능,14:00,익일 11:00,064-738-0074,"<a href=""http://www.egreenside.co.kr"" target=""_blank"" title=""새창 : 그린사이드 홈페이지로 이동"">http://www.egreenside.co.kr</a>",가능(사전문의),nan
제주바다산책,064-764-9955,제주특별자치도 서귀포시 남원읍 남태해안로 11-14,"제주바다산책펜션은 서귀포시 남원읍 신영영화박물관 옆에 자리하고 있다. 펜션 실내를 통나무로 꾸며 분위기를 더했으며 전 객실에서 바다를 보실 수 있어 아름다운 숙소이다. 20평/ 23평의 넓은 객실은 복층형 구조로 되어 있다. 바닷가와 근접해 있어서 제주의 시원한 바다 내음을 객실에서 느낄 수 있다. 중문관광단지의 성산일출봉 중간 지점에 위치하고 있어 여행 다니기에 편리하다. 영화박물관을 지나 남원큰엉까지 이어지는 해안절벽 산책로는 제주도 바다산책 펜션을 찾는 또 다른 매력이다. 
주변 가볼 만한 곳은 표선 해비치 해변/ 서귀포 매일 올레 한라산국립공원/ 섭지코지/ 성산 일출봉이 있다.",nan,nan,5실,20평형(4실)/ 23평형(1실),주차 가능,가능,15:00,익일11:00,064-764-9955,"<a href=""http://www.seawalk.co.kr"" target=""_blank"" title=""새창 : 제주바다산책 홈페이지로 이동"">http://www.seawalk.co.kr</a>",nan,nan
푸른제주 펜션,064-783-4830,제주특별자치도 서귀포시 성산읍 한도로 256,푸른제주펜션은 아름다운 세계 7대 경관 성산일출봉 바로 앞에 위치한 전망 좋은 숙소이다. 우도가 내다보이며 모든 객실에서 바다가 보이고 바다내음을 맞을 수 있다. 10평형 디럭스룸/ 12평형 퀸룸/ 15평형 패밀리룸/ 50평형 1층 럭셔리 패밀리룸 등 7객실이 있다. 주변으로는 광치기 해변트레일/ 펜션앞 조개잡이 무료 체험장과 용당바닷길 산책로가 있어 최고의 풍광을 자랑하고 있다. 숙소에서 성산일출봉까지 도보 5분으로 환상적인 성산의 일출과 앞바다 뷰를 볼 수 있어 남녀노소 모두 여행을 즐기다 갈 수 있다.,nan,34명,7실,10평형/ 12평형/ 15평형,주차가능,가능,15:00,익일 11:00,064-783-4830,"<a href=""http://www.preunjeju.co.kr"" target=""_blank"" title=""새창 : 푸른제주 펜션 홈페이지로 이동"">http://www.preunjeju.co.kr</a>",nan,식당
꼬뜨도르 호텔,064-782-0800,제주특별자치도 제주시 구좌읍 일주동로 1724,"꼬뜨도르는 프랑스어로 ‘황금들녘’을 의미하며 가을에는 정원의 빛깔이 황금물결을 이루며 봄에는 호텔 맞은편에 위치한 텃밭에 보리들이 고객을 숙이며 황금물결을 이룬다 하여 꼬뜨도르호텔이다.
일반호텔과는 차별화된 호텔로 최고급 품격과 내 집 같은 편안함으로 국제적인 휴양지/ 아름다운 섬 제주에 어울리는 최상의 서비스를 제공하고 있다.",3층,nan,30실,트윈/ 더블/ 트리플/ 포리플/ 패밀리,가능,가능,16:00,12:00,064-782-0800,nan,nan,nan
스타팰리스 펜션,041-675-3666,충청남도 태안군 남면 마검포길 273-9,"스타팰리스 펜션은 천혜의 해양 국립공원인 태안반도에서 드넓은 마검포 해수욕장이 있는 조용한 어촌마을에 있는 테마형 펜션이다.
유럽풍의 최고급 목조주택으로 옥상에는 대형 천체망원경을 갖춘 천문 관측 돔이 설치되어 있어 별이 보이는 날은 항상 무료로 천체관측 행사를 한다. 고급 내부시설과 넓고 편리한 외부 파티장이 있으며/ 간단한 야채는 텃밭에서 얻을 수 있다.",2층,nan,10실,10평형/ 15평형/ 25평형,가능,가능,15:00,11:00,010-6440-0095,nan,nan,nan
킹모텔(구 호텔킹),054-571-5558,경상북도 문경시 문경읍 온천2길 16-6,"문경 온천지구내에 위치한 킹모텔은 붉은색 건물 외관이 눈에 띄는 온천 모텔이다. 시설은 노후하였지만 깨끗하게 잘 정돈된 객실은 침대와 온돌로 구성된 일반실/ 1인 스파 시설이 있는 일반실/ 2인 스파 시설이 갖추어진 중특실과 4인에서 8인이 머물 수 있는 특실로 이루어져 있다. 
문경종합온천지구는 1995년 경상북도로부터 온천지구로 지정 고시되어 2001년 개장한 곳으로/ 온천을 중심으로 다양한 숙박시설과 다양한 식당들이 자리 잡고 있어서 문경의 대표적인 여행지로 꼽힌다. 
주변 관광지로는 문경새재/ 철로자전거/ 석탄 박물관/ 경천댐/ 사극 드라마 촬영장 등이 있다.",nan,nan,28실,nan,주차 가능,불가,14:00,12:00,054-571-5558,nan,불가,nan
몰디브,010-7311-1063,충청남도 태안군 안면읍 풍어제길 44-12,자연이 살아 숨 쉬는 아름다운 안면도/ 아름다운 바다와 편안한 휴식이 있는 몰디브펜션에 오신 걸 환영한다. 천혜의 자연조건을 두루 갖춘 섬 안면도는 14개의 해수욕장과 자연휴양림/ 풍부한 먹거리가 있는 곳이다. 그곳의 또 다른 섬 황도는 안면도에 속해져 있는 작은 섬이고 서해의 일출을 볼 수 있는 곳이기도 하다. 황도에 오픈한 몰디브펜션 각 객실의 내부는 모두 최고급 시설로 단체/ 가족/ 연인을 위한 시설이 갖추어져 있다.,2층,nan,10실,원룸형/ 1층/ 2층,가능,가능,15:00,11:00,010-7311-1063,nan,nan,nan
하루정원,010-7660-7352,경기도 파주시 법원읍 자운서원로 264,하루정원은 경기도 파주에 있는 펜션이다. 독채형과 원룸형/ 가족형 등의 룸을 구비함으로써 단체 및 커플/ 가족단위로 이용하기에 좋은 펜션이다. 친환경적인 목조를 사용하였으며/ 넓고 아늑한 실내 디자인으로 사용자 편의를 생각하여 건축했다. 하루정원 펜션의 매력은 펜션뿐 아니라 잘 가꿔진 잔디정원에 있으며/ 주변 환경과 잘 어우러져 있어 좋은 경치를 제공하고 있다.,nan,25명,4실,단체객실/ 독채형 객실/ 가족형 객실,가능,가능,15:00,11:00,010-7660-7352,nan,nan,바베큐장
리치빌,nan,경기도 양평군 서종면 황순원로 449,산과 계곡이 함께 있어 자연의 선물을 그대로 간직하고 있는 리치빌펜션이다. 서울에서 비교적 가까운 위치에 있어 오기에 편리한 곳에 위치하고 있다. 또한 객실이 총 3개가 있어 조용히 쉼을 누리기에 좋으며 객실 테라스에서 바베큐가 가능해 편의를 더하고있다. 펜션 앞으로 흐르는 작은 계곡 사이에서 발을 담그며 시원함을 느낄 수 있고 숲의 푸르름을 그대로 느낄 수 있는 산책로 또한 펜션 주변으로 있다.<br>,nan,nan,3실,원룸형,가능,가능,14:00,익일12:00,nan,nan,가능(사전문의),nan
백궁펜션,010-3883-4342,경기도 포천시 신북면 청신로1059번길 17,백궁펜션은 사면에 펼쳐진 우람한 잣나무숲을 병풍 삼아 아름다운 경관으로 꾸며진 멋진 펜션이다. 다람쥐/ 청설모와 함께 계절별 각종 산새가 노래하는 자연환경과 앞에는 계곡과 산책로가 있으며 완벽한 시설을 갖춘 휴식공간에서 정다운 가족과 연인이 즐거운 일정을 보내실 수 있는 실용적인 공간이다. 최고를 위하여 더욱더 독창적인 시스템을 개발하여 편의를 제공할 것을 약속하며 고객님의 많은 관심과 이용을 기대한다.,3층,54명,8실,한실/ 양실,가능,가능,15:00,12:00,010-3883-4342,nan,nan,nan
시크릿가든,010-3798-5454,경기도 포천시 신북면 깊이울로 119,경기도 포천의 푸름을 한가득 안고 있는 왕방산과 자연의 모습을 간직한 깊이울 저수지가 있는 시크릿가든 펜션이다. 펜션은 넓은 공간과 함께 충분한 부대시설을 갖추고 있어 이용하시는 분들에게 만족과 충분한 쉼과 여유를 주고 있다. 전 객실에 있는 개별 테라스에서 바비큐 파티가 가능하며 펜션 옆에 있는 깊이울 저수지에서 낚시가 가능하다. 시크릿가든 펜션에서 좋은 추억과 아름다움을 간직하길 바란다.,nan,40명,9실,복층독채형/ 원룸형/ 투룸형/ 분리형,가능,가능,15:00,11:00,010-3798-5454,nan,가능(포천시외버스터미널·허브아일랜드/사전문의),nan
호텔 준 (Hotel June Incheon Airport),032-746-4417,인천광역시 중구 신도시남로150번길 18,"호텔준은 최고급 시설로 여행객 및 환승객을 배려한 각종 편의시설 및 비즈니스맨의 업무도 고려한 고품격 서비스를 제공한다. 정열의 계절 6월이라는 이름으로 개관되었으며 21세기를 주도할 세계적 관문인 인천국제공항에서 8분 거리의 위치에 있다. 무료셔틀버스를 운행하여  고객의 편의를 우선으로 하고 있으며 현대적인 감각에 맞는 시설을 갖추어 여행객 또는 환승객에게 불편함이 없도록 하였다.
뿐만 아니라 초고속 인터넷을 설치하여 비즈니스맨의 업무도 고려하였으며 고품격 서비스를 위해 국제적 감각에 익숙한 직원으로 구성되어 있다. 또한 투숙객의 편의를 위해 무료 장기주차 서비스도 제공하고 있다.",3/000㎡/ 지상 5층/지하 1층,nan,48실,스탠다드/ 디럭스,가능(무료),불가,15:00,11:00,032-746-4417,nan,가능(호텔↔인천공항 셔틀버스 운행),레스토랑
오션하우스,010-3693-4541,제주특별자치도 서귀포시 안덕면 사계남로216번길 42,오션하우스는(oceanhouse)는 제주도 서남쪽에 위치한 세련된 네덜란드풍의 전원형 펜션이다. 아름드리나무와 넓은 잔디밭 정원은 주위의 경관과 어울리며 또한 부지를 계단식으로 정리하고 데크를 넓고 길게 만들어 이국적인 정취가 물씬 풍기도록 하였다.<br>오션하우스 바로 뒤에 장엄하게 우뚝 솟은 산방산에는 제주도 영주10경 중의 하나인 산방굴사가 있고 드넓은 태평양이 한눈에 들어오는 용머리해안은 중국 진시황제의 전설을 보는듯하다. 형제섬은 좋은 낚시터로 각광받고 있다.,nan,nan,6실,원룸형/ 투룸형/복층형,가능,가능,16:00,11:00,010-3693-4541,nan,nan,nan
부산인모텔,051-463-5505,부산광역시 동구 중앙대로214번길 7-7,부산인모텔은 고품격 시설을 갖춘 신 개념 비즈니스 모텔로 최적의 가격으로 최고의 서비스를 제공한다. 항구도시 부산의 중심가이며/ 남포동/ 국제시장/ 자갈치 시장과 인접해 있다. 또한 기차역/ 터미널/ 김해 공항과 가까이 있어 여행/ 휴가/ 출장 등의 목적으로 이상적이다. 또한 부산시 동구 모범 숙박업소로도 선정되어 있다.,지하 1층/ 지상 6층,80명,25실,양실/ 한실,주차 가능,불가,14:00,12:00,051-463-5505,nan,nan,nan
엘르인호텔,02-792-8700,서울특별시 용산구 한강대로71길 24(갈월동),호텔 엘르인은 서울 중심부에 위치한 비즈니스 부티크 호텔로서 내국인은 물론 외국인 관광객과 비즈니스맨을 위해 다양한 편의시설을 갖춘 비즈니스호텔이다. 한민국 고속열차인 KTX를 탈 수 있는 서울역과 용산역이 도보로 10분 안에 있고 지하철 1/ 4/ 6호선이 관통하고 있어 교통이 편리한 지리적 이점을 갖추고 있다.엘르인 호텔의 첫 번째 자랑은 유럽풍의 우아하면서도 화려한 내부 인테리어와 휴식의 만족도를 극대화하기 위한 각종 편의시설로 숙박객의 만족도를 높인다는 것이다.<br /><br />또한 장기 투숙 고객을 위하여 코인 세탁실이 준비되어 있고/ 비즈니스맨을 위한 비즈니스센터에서는 프린터와 복사기/ 팩스기 등을 모두 사용할 수 있다. 아침에는 호텔 고객을 위하여 조식을 항상 신선한 재료의 다양한 메뉴로서 정성스럽게 준비하고 있어 호텔 엘르인만의 서비스를 만날 수 있다. 또한 비즈니스 고객의 편의를 위하여 전 객실에 컴퓨터와  인터넷이 설치되어 있으며 지하 BAR에서는 고객과의 회의 및 미팅이 가능하다. 명동/ 이태원/ 남대문시장/ 동대문시장/ 용산 전자상가 등과 같은 쇼핑을 즐길 수 있는 지역이 근접해 있으며 N서울타워/ 전쟁기념관/ 국립중앙박물관 등과 같은 관광지도 15분 거리 내에 위치해 있어 비즈니스 관광의 메카로서 쇼핑과 교통이 편리하다.<br>,지상 13층/지하 2층,nan,54실,디럭스 더블/트윈/ 스탠다드 더블,nan,불가,15:00,익일 12:00,nan,nan,nan,레스토랑
엘스관광호텔,033-591-7300,강원특별자치도 정선군 사북읍 사북1길 21,강원도 정선에 위치한 엘스관광호텔은 고급형 휴식공간을 제공하며 선택의 퀄리티를 높여드리고자 탄생한 고객 여러분의 공간이다. 인근에 강원랜드/ 하이원스키장/ 민둥산/ 태백산/ 레일바이크/ 화암 8경(화암약수/ 화암동굴) 등이 자리하고 있어 관광과 레저에 용이하다. 객실은 고객이 만족할 수 있도록 안락하고 편안하게 꾸며져 있으며 작은 소품 하나에도 세심한 정성을 다한 흔적이 역력하다. 피곤한 몸과 마음을 쉬어갈 수 있는 최고의 호텔로 다가갈 것이다. 또한 모든 편리함이 갖추어진  설비와 고객의 취향을 만족시켜 주는  서비스를 통해 편안하고 안락하게 지내실 수 있도록 모든 편의를 제공하고 있다. 고객 여러분의 안락한 휴식과 품위 유지를 위해 전 직원들이 항상 최선을 다하며 정성된 마음으로 다가가고자 끊임없이 노력하고 있다. 편안한 여행의 즐거움을 마음껏 만끽하고 삶의 여유와 넉넉함을 즐기며 추억으로 간직할 소중한 시간을 만들 수 있는 격조 높은 휴식처가 될 수 있도록 엘스관광호텔은 항상 정성이 깃든 최고의 서비스를 제공하고 있다.,nan,92명,46실,스탠다드/ 디럭스/ 온돌/ 펜션형,주차 가능,가능(펜션형),15:00,12:00,033-591-7300,"<a href=""http://www.lshotel.co.kr"" target=""_blank"" title=""새창 : 엘스관광호텔 홈페이지로 이동"">http://www.lshotel.co.kr</a>",nan,식당/ 바비큐장
아모렉스관광호텔,02-2292-7634,서울특별시 성동구 왕십리로20길 19,아모렉스호텔은 강남과 강북을 잇는 교통요지에 자리 잡고 있으며 서비스와 객실 인테리어로 고객의 몸과 마음을 편안하게 모시는 데 최선을 다하고 있다. 지리적으로 편리한 아모렉스호텔은 왕십리역 3번 출구에서 단 5분 거리에 위치하며 동대문/ 명동/ 시청과는 차량으로 20분 안팎의 거리에 있다. 이 때문에 사업차 방문하는 비즈니스맨이나 쇼핑과 레저를 즐기러 온 관광객에게 높은 만족을 제공하고 있다. 모든 객실에는 에어컨이 완비되어 있고 냉장고/ 전자레인지 및 미니 바도 제공하고 있다. 각 객실에는 주문형 영화 서비스/ 평면 TV 등의 다양한 엔터테인먼트 시설이 마련되어 있다.,지상 11층/지하 1층,nan,70실,스탠다드/ 디럭스/ 디럭스 트윈/ 럭셔리/ 스위트,주차가능(22대),불가,15:00,12:00,02-2292-7634,nan,nan,레스토랑/ 라운지 바
유로파라텔,02-869-7396,서울특별시 구로구 새말로18길 142,유로파라텔은 서울 구로구에 위치해 있으며/ 주변 관광지로는 구로문화원/ 나인스에비뉴/ AK플라자/ 구로도서관 등이 있다.,nan,96명,32실,nan,주차 가능,불가,19:00,12:00,02-869-7396,nan,nan,nan
해남유스호스텔,061-533-0170,전라남도 해남군 삼산면 대흥사길 88-88,천년고찰 대흥사가 있는 두륜산도립공원 내에 위치한 해남유스호스텔은 산과 바다와 들이 가장 잘 어우러진 해남과 자연의 신비가 살아 숨 쉬는 서남부 중심에 위치하고 있어 관광과 문화체험에 가장 좋은 곳이다. 또한 청소년 수련활동을 위한 각종 수련 시설 및 프로그램을 완비하여 청소년들의 심신수련의 장이 될 것이다.,지상 2층/지하 1층,250명,29실,도미토리/ 5인실/ 6인실/ 8인실/ 12인실/ 15인실,nan,불가,14:00,12:00,061-533-0170,nan,nan,식당
호텔여기어때 안양1번가점,031-348-2550,경기도 안양시 만안구 장내로149번길 8,안양1번가 지역 최고의 객실서비스와 저렴한 가격대비 최고의 만족도를 선사한다. 365일 정가제를 통한 바가지 요금 없는 숙박 업소로서 여심을 사로잡는 디자인이 특징적인 매장이다.,nan,nan,26실,nan,nan,불가,18:00,13:00,031-348-2550,nan,nan,nan
지산 메이플콘도,031-644-1261,경기도 이천시 마장면 지산로 267,지산 메이플콘도는 천혜의 자연환경/ 어디서나 스키장을 볼 수 있는 전망 좋은 객실과 깨끗하고 편리한 부대시설/ 교육장 및 야외활동을 위한 다양한 시설들이 완벽하게 준비가 되어있다.,지하 1층~지상 4층,385명,55실,콘도형,주차가능,가능,14:00,11:00,031-644-1261,nan,nan,레스토랑
남해비치텔,055-863-5505,경상남도 남해군 설천면 노량로 194,"남해비치텔은 한려해상 국립공원의 중심지역인 남해군 설천면 노량리에 위치해 있다. 이순신 장군이 전사하신 곳으로도 유명한 노량 앞바다 위에는 현수교인 남해대교가 장엄하게 서있고 그 주변은 이순신 장군의 얼이 살아 숨 쉬는 충렬사와 거북선이 있는 역사지 이다. 푸른 산/ 푸른 바다와 공해 없는 남해의 섬 관광지를 처음으로 들어서는 길목에 자리 잡고 있어 남해 명승지를 찾는 관광객들이 이용하기에 편리하다. 남해만의 독특한 섬 향기와 전통적인 섬마을의 포근한 인정을 느낄 수 있으며 이부자리도 주인이 손수 만들어 깨끗하고 정갈하다.
건물은 현대식 3층 자연석 건물로 되어 있는데/ 산허리에 있는 옥돌청석을 2년 동안이나 깎아내어 건축하였다. 앞과 옆에 있는 언덕은 3톤 크기의 자연석으로 조경을 하여 웅장하고 산뜻하며 주변에는 소나무/ 향나무가 건물을 에워싸고 있어 수려한 경관을 보여준다. 객실 복도와 연결된 축소판 남해대교를 걸어서 오솔길로 남해대교를 산책할 수 있도록 하였으며/ 비치텔 상부의 3/966.96m²(1/200평) 농장과 남해대교가 있는 19호선 국도를 연결하였다. 가족단위 손님을 위하여 가족단체실 5실이 있다.",3층,66명,33실,일반실/ 가족실/ 특실/ 단체실,주차 가능,불가,14:00,12:00,055-863-5505,nan,nan,한식당
궁전파크모텔,054-674-0300,경상북도 봉화군 봉화읍 예봉로 2043,궁전파크모텔은 주위의 뛰어난 자연경관과 더불어 깨끗하고 조용한 시설을 자랑한다. 궁전 같은 화려한 외관과 포근한 실내 분위기/ 도시생활의 지친 사람들의 피로를 풀어주는 자연 속의 휴식처이다.,nan,72명,36실,nan,주차 가능,불가,14:00,12:00,054-674-0300,nan,nan,nan
라운지하우스 제주다,064-792-5670,제주특별자치도 서귀포시 안덕면 사계남로50번길 60,라운지하우스 제주다는 힐링이 되는 동남아풍 감성펜션이다. 2020년 1월에 도시어부 촬영지로 알려져 있으며/ TV를 잠시 끄고 음악과 함께 책과 함께 좋은 사람들과 이야기를 나누며 시간을 나누고 추억을 나눌 수 있는 곳이다. 별빛이 쏟아지는 잔디에서 바비큐파티를 즐길 수 있다. 사천해변이 걸어서 3분 거리/ 마라도 여객선/ 산방산/ 송악산이 접해 있어 교통이 편리하다.,2층,nan,5실,패밀리룸/ 커플룸/ 트윈룸/ 트리플룸,주차 가능,가능,17:00,11:00,064-792-5670,nan,가능(사전문의/17~19시),nan
수미르펜션,055-632-5745,경상남도 거제시 남부면 거제남서로 750-1,거제도의 최남단 마을 홍포에 오면/ 남으로 넓은 남태평양의 바다 위에 가왕도와 매물도가 떠있고/ 해가지는 서쪽으로는 멀지 욕지도의 좌사리/ 소지도/ 연화동 등의 작은 섬들이 낙조에 젖어 황홀한 황금빛을 머금은 모습을 볼 수 있다. 작은 마을 홍포에 1층은 찻집과 식사를 해결할 수 있고/ 2~3층은 콘도식 민박의 수미르 펜션이 있다.,2층,nan,5실,원룸형/ 분리형,주차 가능,가능,14:00,11:00,055-632-5745,nan,nan,nan
마리나 비치펜션,041-672-4097,충청남도 태안군 남면 몽대로 494-8,태안 몽산포해수욕장 바로 앞에 위치한 마리나비치펜션은 먹거리/ 즐길거리/ 편안한 휴식공간이 모두 갖추어진 가족 및 커플펜션이다. 바다가 보이는 전망은 물론/ 방에서 파도소리를 들을 수 있다. 이곳은 해수욕을 즐기기에 최상의 조건을 가지고 있으며/ 짜릿한 바다낚시도 즐길 수 있다. 또한/ 펜션 바로 앞에 갯벌체험과 조개잡이가 가능하며/ 바비큐시설과 각종 부대시설이 준비되어 있다.,2층,nan,7실,커플형/ 가족형/ 단체형,주차 가능,가능,15:00,11:00,010-3090-0224,nan,가능(사전문의/성수기제외),nan
보성골망태펜션,061-852-1966,전라남도 보성군 보성읍 노산길 5-56,전남 보성 녹차밭 인근에 위치한 골망태는 남도여행의 일번지 녹차밭을 비롯한 율포 녹차 해수탕/ 일림산 철쭉 군락지/ 대원사/ 강진 청자도요지/ 장흥 보림사 해남 땅끝/ 보길도/ 순천 송광사/ 순천 선암사/ 낙안읍성 민속 마을/ 고흥 소록도/ 우주센터/ 담양 대나무 박물관/ 천불천탑 화순 운주사 등 수많은 관광지가 산재해 있어 남도 관광을 즐기시기에 가장 중심적인 곳에 위치하고 있다. 예쁘게 지어진 황토흙집과 녹차밭이 어우러진 포근한 잠자리를 만날 수 있다.,nan,nan,11실,투룸형/ 원룸 침대형/ 원룸 온돌형,주차 가능,가능,14:00,11:00,061-852-1966,nan,nan,카페/ 바베큐장
귤익는마을,064-787-0543,제주특별자치도 서귀포시 성산읍 신천서로 11,"사람과 자연이 어울리는 곳 낭만의 섬 제주에 위치한 귤 익는 마을은 돌담과 감귤 과수원이 자연 그대로 어우러져 있어 마음을 편안하게 해 주고 넓은 잔디마당에 있는 야자수와 철쭉 등이 아기자기한 정원을 이루고 있다. 집의 외부는 서구식 스틸하우스로서 이국적이고 세련된 느낌을 주며 내부는 건강에 좋은 황토로 처리하여 따뜻한 느낌을 준다. 
집 안에는 필수 가전제품을 모두 갖추어 놓았으며 사람과 자동차의 왕래가 드물어서 한적하고 여유롭다. 정원에서는 바비큐 파티를 하고 아이들과 공놀이를 할 수 있다. 또한 바로 옆에 있는 과수원에서 귤나무에 꽃이 피고 열매가 달리고 노랗게 익어가는 모습을 볼 수 있고 수확기가 되면 맛있는 귤을 마음껏 맛볼 수 있다.",본관/ 별관,nan,6실,9평형/ 10평형/ 12평형/ 13평형/ 20평형,주차가능,가능,15:00,12:00,064-787-0543,nan,nan,nan
